Taxa,Acc
hpev_1/LC062455/Japan/Niigata/2000,LC062455
hpev_11/HQ163877/SriLanka/2006,HQ163877
hpev_11/HQ163873/SriLanka/2005,HQ163873
hpev_11/KJ743688/India/2006,KJ743688
hpev_6/LC062403/Japan/Niigata/2008,LC062403
hpev_2/KX011190/India/2014,KX011190
hpev_6/LC062395/Japan/Niigata/2001,LC062395
hpev_6/FJ373178/Netherlands/2004,FJ373178
hpev_6/HQ696577/Brazil/2006,HQ696577
hpev_6/FJ373176/Netherlands/2004,FJ373176
hpev_6/LC062404/Japan/Niigata/2013,LC062404
hpev_6/JN129203/Finland/2001,JN129203
hpev_6/FJ652382/USA/Wisconsin/2004,FJ652382
hpev_6/FM242868/Finland/Tampere/2001,FM242868
hpev_6/LC062400/Japan/Niigata/2001,LC062400
hpev_6/LC062393/Japan/Niigata/2000,LC062393
hpev_1/MF435255/HongKong/2014,MF435255
hpev_6/MF435196/HongKong/2014,MF435196
